locus_tag	ftype	gene	EC_number	product
HJDKBCLM_00001	CDS	hypothetical protein
HJDKBCLM_00002	CDS	dppE	Dipeptide-binding protein DppE
HJDKBCLM_00003	CDS	hypothetical protein
HJDKBCLM_00004	CDS	hypothetical protein
HJDKBCLM_00005	CDS	soj	3.6.-.-	Sporulation initiation inhibitor protein Soj
HJDKBCLM_00006	CDS	hypothetical protein
HJDKBCLM_00007	CDS	dinB	2.7.7.7	DNA polymerase IV
HJDKBCLM_00008	CDS	hypothetical protein
HJDKBCLM_00009	CDS	hypothetical protein
HJDKBCLM_00010	CDS	hypothetical protein
HJDKBCLM_00011	CDS	hypothetical protein
HJDKBCLM_00012	CDS	hypothetical protein
HJDKBCLM_00013	CDS	hypothetical protein
HJDKBCLM_00014	CDS	hypothetical protein
HJDKBCLM_00015	CDS	tnpR	Transposon gamma-delta resolvase
HJDKBCLM_00016	CDS	hypothetical protein
HJDKBCLM_00017	CDS	mazF	3.1.27.-	Endoribonuclease MazF
HJDKBCLM_00018	CDS	hypothetical protein
HJDKBCLM_00019	CDS	2.7.7.-	Adenosine monophosphate-protein transferase NmFic
HJDKBCLM_00020	CDS	dinJ	Antitoxin DinJ
HJDKBCLM_00021	CDS	yafQ	3.1.-.-	mRNA interferase YafQ
HJDKBCLM_00022	CDS	hypothetical protein
HJDKBCLM_00023	CDS	prgT_1	Putative regulatory protein PrgT
HJDKBCLM_00024	CDS	hypothetical protein
HJDKBCLM_00025	CDS	inlJ	Internalin-J
HJDKBCLM_00026	CDS	spa	Immunoglobulin G-binding protein A
HJDKBCLM_00027	CDS	ebh_1	Extracellular matrix-binding protein ebh
HJDKBCLM_00028	CDS	hypothetical protein
HJDKBCLM_00029	CDS	hin	DNA-invertase hin
HJDKBCLM_00030	CDS	prgT_2	Putative regulatory protein PrgT
HJDKBCLM_00031	CDS	ebh_2	Extracellular matrix-binding protein ebh
HJDKBCLM_00032	CDS	xre	HTH-type transcriptional regulator Xre
HJDKBCLM_00033	CDS	N-acetylmuramoyl-L-alanine amidase domain-containing protein
HJDKBCLM_00034	CDS	pbpX	Putative penicillin-binding protein PbpX
HJDKBCLM_00035	CDS	hypothetical protein
HJDKBCLM_00036	CDS	hypothetical protein
HJDKBCLM_00037	CDS	hypothetical protein
HJDKBCLM_00038	CDS	hypothetical protein
HJDKBCLM_00039	CDS	hypothetical protein
HJDKBCLM_00040	CDS	hypothetical protein
HJDKBCLM_00041	CDS	prgT_3	Putative regulatory protein PrgT
HJDKBCLM_00042	CDS	hypothetical protein
HJDKBCLM_00043	CDS	hypothetical protein
HJDKBCLM_00044	CDS	inlB	Internalin B
HJDKBCLM_00045	CDS	inlA	Internalin-A
HJDKBCLM_00046	CDS	xerD	Tyrosine recombinase XerD
HJDKBCLM_00047	CDS	hypothetical protein
HJDKBCLM_00048	CDS	hypothetical protein
HJDKBCLM_00049	CDS	hypothetical protein
HJDKBCLM_00050	CDS	hypothetical protein
HJDKBCLM_00051	CDS	hypothetical protein
HJDKBCLM_00052	CDS	ycdA	putative lipoprotein YcdA
HJDKBCLM_00053	CDS	hypothetical protein
HJDKBCLM_00054	CDS	hypothetical protein
HJDKBCLM_00055	CDS	cbh	3.5.1.24	Choloylglycine hydrolase
HJDKBCLM_00056	CDS	hypothetical protein
HJDKBCLM_00057	CDS	hypothetical protein
HJDKBCLM_00058	CDS	ssb	Single-stranded DNA-binding protein
HJDKBCLM_00059	CDS	hypothetical protein
HJDKBCLM_00060	CDS	hypothetical protein
HJDKBCLM_00061	CDS	hypothetical protein
HJDKBCLM_00062	CDS	hypothetical protein
HJDKBCLM_00063	CDS	hypothetical protein
