locus_tag	ftype	gene	EC_number	product
HMKDGAKJ_00001	CDS	Tn3 family transposase
HMKDGAKJ_00002	CDS	recombinase family protein
HMKDGAKJ_00003	CDS	intI1	class 1 integron integrase IntI1
HMKDGAKJ_00004	CDS	PSE family carbenicillin-hydrolyzing class A beta-lactamase CARB-2
HMKDGAKJ_00005	CDS	chloramphenicol efflux MFS transporter CmlA6
HMKDGAKJ_00006	CDS	aadA1	ANT(3'')-Ia family aminoglycoside nucleotidyltransferase AadA1
HMKDGAKJ_00007	CDS	quaternary ammonium compound efflux SMR transporter QacE delta 1
HMKDGAKJ_00008	CDS	IS6-like element IS6100 family transposase
HMKDGAKJ_00009	CDS	SulP family inorganic anion transporter
HMKDGAKJ_00010	CDS	Tn3 family transposase
HMKDGAKJ_00011	CDS	recombinase family protein
HMKDGAKJ_00012	CDS	APH(3'') family aminoglycoside O-phosphotransferase
HMKDGAKJ_00013	CDS	aminoglycoside O-phosphotransferase APH(6)-Id
HMKDGAKJ_00014	CDS	universal stress protein
HMKDGAKJ_00015	CDS	TraR/DksA family transcriptional regulator
HMKDGAKJ_00016	CDS	SdiA-regulated domain-containing protein
